District,Nitrogen,Phosphorous,Potassium,pH,OC,EC
Kancheepuram,188.00,67.00,194.00,7.40,0.30,0.20
Cuddalore,141.50,51.00,237.50,7.30,0.30,0.30
Villupuram,156.00,41.60,233.00,7.10,0.40,0.80
Vellore,180.20,58.70,327.40,7.30,0.40,0.20
Tiruvannamalai,175.70,27.40,263.10,7.60,0.40,0.40
Salem,185.00,29.40,190.00,7.90,0.40,0.60
Namakkal,200.00,20.70,421.50,7.30,0.40,0.30
Dharmapuri,187.50,17.30,278.00,7.90,0.30,0.40
Krishnagiri,149.80,22.00,215.30,7.20,0.30,0.40
Coimbatore,201.00,27.30,263.00,7.60,0.40,0.40
Tiruppur,206.50,16.40,305.00,8.30,0.40,0.80
Erode,159.40,19.00,273.90,7.80,0.40,0.20
Trichy,153.20,18.60,368.30,8.10,0.40,0.20
Perambalur,143.60,25.30,302.60,8.10,0.40,0.20
Ariyalur,139.00,20.50,272.00,7.90,0.40,0.60
Karur,129.50,30.00,371.50,7.60,0.30,0.50
Pudukkottai,157.80,20.90,199.20,7.20,0.40,0.40
Thanjavur,146.00,55.80,229.20,7.40,0.50,0.30
Thiruvarur,163.00,88.10,293.50,7.30,0.50,0.70
Madurai,163.00,52.00,348.50,7.80,0.40,0.40
Theni,190.00,73.20,221.10,7.30,0.40,0.80
Dindigul,221.00,75.00,191.00,7.60,0.40,0.30
Ramanathapuram,128.50,24.00,269.00,7.20,0.40,0.60
Sivagangai,124.50,45.50,341.50,7.30,0.30,0.50
Virudhunagar,142.20,17.00,252.00,8.00,0.30,0.30
Tirunelveli,177.40,30.30,367.10,7.30,0.30,0.30
Tuticorin,131.00,32.60,123.00,7.80,0.40,0.40
Kanyakumari,198.00,23.50,212.00,5.90,0.40,0.50
Nilgiris,169.40,22.70,296.70,5.70,0.70,0.50
